"single_cell_id","genotype","timepoint"
"SA501X1-Nucleus-0112","A","X1"
"SA501X2-Nucleus-0029","A","X2"
"SA501X2-Nucleus-0001","A","X2"
"SA501X2-Nucleus-0007","A","X2"
"SA501X2-Nucleus-0006","A","X2"
"SA501X2-Nucleus-0039","A","X2"
"SA501X2-Nucleus-0017","A","X2"
"SA501X2-Nucleus-0042","A","X2"
"SA501X1-Nucleus-0110","A","X1"
"SA501X2-Nucleus-0003","A","X2"
"SA501X2-Nucleus-0005","A","X2"
"SA501X2-Nucleus-0014","A","X2"
"SA501X2-Nucleus-0004","A","X2"
"SA501X2-Nucleus-0027","A","X2"
"SA501X2-Nucleus-0012","A","X2"
"SA501X2-Nucleus-0035","A","X2"
"SA501X1-Nucleus-0091","A","X1"
"SA501X1-Nucleus-0092","B","X1"
"SA501X2-Nucleus-0015","B","X2"
"SA501X2-Nucleus-0008","B","X2"
"SA501X1-Nucleus-0111","B","X1"
"SA501X2-Nucleus-0030","B","X2"
"SA501X1-Nucleus-0097","B","X1"
"SA501X2-Nucleus-0041","B","X2"
"SA501X1-Nucleus-0122","B","X1"
"SA501X2-Nucleus-0031","B","X2"
"SA501X2-Nucleus-0013","B","X2"
"SA501X2-Nucleus-0032","B","X2"
"SA501X4-Nucleus-0002","B","X4"
"SA501X1-Nucleus-0102","C","X1"
"SA501X1-Nucleus-0100","C","X1"
"SA501X1-Nucleus-0093","C","X1"
"SA501X2-Nucleus-0028","C","X2"
"SA501X1-Nucleus-0098","C","X1"
"SA501X1-Nucleus-0124","C","X1"
"SA501X1-Nucleus-0096","C","X1"
"SA501X1-Nucleus-0106","C","X1"
"SA501X1-Nucleus-0126","C","X1"
"SA501X1-Nucleus-0108","C","X1"
"SA501X1-Nucleus-0115","C","X1"
"SA501X1-Nucleus-0121","C","X1"
"SA501X1-Nucleus-0090","C","X1"
"SA501X1-Nucleus-0120","C","X1"
"SA501X1-Nucleus-0104","C","X1"
"SA501X1-Nucleus-0099","C","X1"
"SA501X1-Nucleus-0113","D","X1"
"SA501X1-Nucleus-0127","D","X1"
"SA501X2-Nucleus-0037","D","X2"
"SA501X1-Nucleus-0125","D","X1"
"SA501X2-Nucleus-0026","D","X2"
"SA501X2-Nucleus-0022","D","X2"
"SA501X2-Nucleus-0025","D","X2"
"SA501X2-Nucleus-0002","D","X2"
"SA501X2-Nucleus-0021","D","X2"
"SA501X1-Nucleus-0114","D","X1"
"SA501X2-Nucleus-0016","D","X2"
"SA501X2-Nucleus-0024","D","X2"
"SA501X2-Nucleus-0038","D","X2"
"SA501X2-Nucleus-0018","D","X2"
"SA501X2-Nucleus-0034","D","X2"
"SA501X2-Nucleus-0023","D","X2"
"SA501X1-Nucleus-0109","D","X1"
"SA501X2-Nucleus-0019","D","X2"
"SA501X2-Nucleus-0011","D","X2"
"SA501X4-Nucleus-0021","E","X4"
"SA501X4-Nucleus-0020","E","X4"
"SA501X4-Nucleus-0008","E","X4"
"SA501X4-Nucleus-0014","E","X4"
"SA501X4-Nucleus-0032","E","X4"
"SA501X4-Nucleus-0013","E","X4"
"SA501X4-Nucleus-0010","E","X4"
"SA501X4-Nucleus-0034","E","X4"
"SA501X4-Nucleus-0016","E","X4"
"SA501X4-Nucleus-0017","E","X4"
"SA501X4-Nucleus-0006","E","X4"
"SA501X4-Nucleus-0007","E","X4"
"SA501X4-Nucleus-0003","E","X4"
"SA501X4-Nucleus-0026","E","X4"
"SA501X4-Nucleus-0040","E","X4"
"SA501X4-Nucleus-0015","E","X4"
"SA501X4-Nucleus-0019","E","X4"
"SA501X4-Nucleus-0028","E","X4"
"SA501X4-Nucleus-0033","E","X4"
"SA501X4-Nucleus-0031","E","X4"
"SA501X4-Nucleus-0036","E","X4"
"SA501X4-Nucleus-0009","E","X4"
"SA501X4-Nucleus-0004","E","X4"
"SA501X4-Nucleus-0030","E","X4"
"SA501X4-Nucleus-0022","E","X4"
"SA501X4-Nucleus-0018","E","X4"
