"source","target","dist"
"1","internal-node-1","SA501X4-Nucleus-0021","0.08257728"
"2","internal-node-1","SA501X4-Nucleus-0020","0.1129488"
"3","internal-node-1","SA501X4-Nucleus-0008","0.0676208"
"4","internal-node-1","SA501X4-Nucleus-0014","0.01626706"
"5","internal-node-1","SA501X4-Nucleus-0032","0.0128468"
"6","internal-node-1","SA501X4-Nucleus-0013","0.04891432"
"7","internal-node-1","SA501X4-Nucleus-0010","0.01469739"
"8","internal-node-1","SA501X4-Nucleus-0034","0.02091258"
"9","internal-node-1","SA501X4-Nucleus-0016","0.01537373"
"10","internal-node-1","SA501X4-Nucleus-0017","0.01440347"
"11","internal-node-1","SA501X4-Nucleus-0006","0.04791399"
"12","internal-node-1","SA501X4-Nucleus-0007","0.02965931"
"13","internal-node-1","SA501X4-Nucleus-0003","0.04443793"
"14","internal-node-1","SA501X4-Nucleus-0026","0.01747747"
"15","internal-node-1","SA501X4-Nucleus-0040","0.03148188"
"16","internal-node-1","SA501X4-Nucleus-0015","0.01858819"
"17","internal-node-1","SA501X4-Nucleus-0019","0.01092027"
"18","internal-node-1","SA501X4-Nucleus-0028","0.0521716"
"19","internal-node-1","SA501X4-Nucleus-0033","0.02758982"
"20","internal-node-1","SA501X4-Nucleus-0031","0.01286981"
"21","internal-node-1","SA501X4-Nucleus-0036","0.05541454"
"22","internal-node-1","SA501X4-Nucleus-0009","0.03300726"
"23","internal-node-2","internal-node-1","0.1315083"
"24","internal-node-3","internal-node-2","0.04415269"
"25","internal-node-4","internal-node-3","0.1425515"
"26","internal-node-5","internal-node-4","0.07093475"
"27","internal-node-5","SA501X1-Nucleus-0092","0.01287366"
"28","internal-node-5","SA501X2-Nucleus-0015","0.02928913"
"29","internal-node-5","internal-node-6","0.0314438"
"30","internal-node-6","SA501X1-Nucleus-0122","0.07989778"
"31","internal-node-6","SA501X2-Nucleus-0031","0.01806869"
"32","internal-node-5","SA501X2-Nucleus-0008","0.04078919"
"33","internal-node-5","SA501X1-Nucleus-0111","0.04507674"
"34","internal-node-5","SA501X2-Nucleus-0030","0.1512598"
"35","internal-node-5","SA501X1-Nucleus-0097","0.04541561"
"36","internal-node-5","internal-node-7","0.04484465"
"37","internal-node-7","SA501X2-Nucleus-0013","0.03569431"
"38","internal-node-7","internal-node-8","0.03023935"
"39","internal-node-8","SA501X2-Nucleus-0032","0.02829935"
"40","internal-node-8","SA501X4-Nucleus-0002","0.03464077"
"41","internal-node-5","SA501X2-Nucleus-0041","0.0453422"
"43","internal-node-9","internal-node-10","0.05866505"
"44","internal-node-10","SA501X2-Nucleus-0001","0.04502596"
"45","internal-node-10","SA501X2-Nucleus-0007","0.01833104"
"46","internal-node-10","SA501X2-Nucleus-0006","0.02033807"
"47","internal-node-10","SA501X2-Nucleus-0039","0.01507237"
"48","internal-node-10","SA501X2-Nucleus-0017","0.01278783"
"49","internal-node-10","SA501X2-Nucleus-0042","0.03005744"
"50","internal-node-10","SA501X1-Nucleus-0110","0.01383115"
"51","internal-node-10","SA501X2-Nucleus-0003","0.0126801"
"52","internal-node-10","SA501X2-Nucleus-0005","0.03162554"
"53","internal-node-10","SA501X2-Nucleus-0014","0.02220915"
"54","internal-node-10","SA501X2-Nucleus-0004","0.05489139"
"55","internal-node-10","SA501X2-Nucleus-0027","0.01376883"
"56","internal-node-10","SA501X2-Nucleus-0012","0.02980279"
"57","internal-node-10","SA501X2-Nucleus-0035","0.06580711"
"58","internal-node-10","SA501X1-Nucleus-0091","0.02894608"
"59","internal-node-9","SA501X1-Nucleus-0112","0.02677258"
"60","internal-node-9","SA501X2-Nucleus-0029","0.0937861"
"61","internal-node-4","internal-node-11","0.05650021"
"62","internal-node-11","SA501X1-Nucleus-0090","0.08554151"
"63","internal-node-11","SA501X1-Nucleus-0120","0.02545701"
"64","internal-node-4","SA501X1-Nucleus-0102","0.03614717"
"65","internal-node-4","SA501X1-Nucleus-0100","0.05051221"
"66","internal-node-4","SA501X1-Nucleus-0093","0.01187359"
"67","internal-node-4","SA501X2-Nucleus-0028","0.01225598"
"68","internal-node-4","SA501X1-Nucleus-0098","0.01797922"
"69","internal-node-4","SA501X1-Nucleus-0124","0.04277105"
"70","internal-node-4","SA501X1-Nucleus-0096","0.04975907"
"71","internal-node-4","SA501X1-Nucleus-0106","0.058732"
"72","internal-node-4","SA501X1-Nucleus-0126","0.03812631"
"73","internal-node-4","SA501X1-Nucleus-0108","0.0112026"
"74","internal-node-4","SA501X1-Nucleus-0115","0.02964217"
"75","internal-node-4","internal-node-12","0.06118171"
"76","internal-node-12","SA501X1-Nucleus-0104","0.05299996"
"77","internal-node-12","SA501X1-Nucleus-0099","0.03671997"
"78","internal-node-4","SA501X1-Nucleus-0121","0.09616758"
"79","internal-node-3","SA501X1-Nucleus-0113","0.125718"
"80","internal-node-3","SA501X1-Nucleus-0127","0.05709445"
"81","internal-node-3","internal-node-13","0.07768988"
"82","internal-node-13","SA501X2-Nucleus-0022","0.08108124"
"83","internal-node-13","SA501X2-Nucleus-0025","0.03558556"
"84","internal-node-3","internal-node-14","0.03743842"
"85","internal-node-14","SA501X2-Nucleus-0002","0.036028"
"86","internal-node-14","SA501X2-Nucleus-0021","0.0438874"
"87","internal-node-3","SA501X2-Nucleus-0037","0.03026648"
"88","internal-node-3","SA501X1-Nucleus-0125","0.07538564"
"89","internal-node-3","SA501X2-Nucleus-0026","0.01236754"
"90","internal-node-2","SA501X1-Nucleus-0114","0.06083624"
"91","internal-node-2","SA501X2-Nucleus-0016","0.01755329"
"92","internal-node-2","SA501X2-Nucleus-0024","0.03037633"
"93","internal-node-2","SA501X2-Nucleus-0038","0.0116794"
"94","internal-node-2","SA501X2-Nucleus-0018","0.01894558"
"95","internal-node-2","SA501X2-Nucleus-0034","0.07534292"
"96","internal-node-2","SA501X2-Nucleus-0023","0.06148405"
"97","internal-node-2","SA501X1-Nucleus-0109","0.05379411"
"98","internal-node-2","SA501X2-Nucleus-0019","0.01182668"
"99","internal-node-2","SA501X2-Nucleus-0011","0.04582689"
"100","internal-node-1","internal-node-15","0.03796418"
"101","internal-node-15","SA501X4-Nucleus-0004","0.02227421"
"102","internal-node-15","SA501X4-Nucleus-0030","0.05390267"
"103","internal-node-1","internal-node-16","0.03669943"
"104","internal-node-16","SA501X4-Nucleus-0022","0.02018736"
"105","internal-node-16","SA501X4-Nucleus-0018","0.02412004"
"106","root","internal-node-5","0.1"
"107","root","internal-node-9","0.1"
